text,source,cleaned_text,sentiment,score
Bitcoin in the bush - the crypto mine in remote Zambia Bitcoin miners will go to remote locations to take advantage of cheap electricity.,NewsAPI,bitcoin in the bush the crypto mine in remote zambia bitcoin miners will go to remote locations to take advantage of cheap electricity ,Positive,0.25
"Trump Signs Executive Order Creating a Strategic Bitcoin Reserve. What Does It Mean for Cryptocurrency? Similar to how the government has a reserve of other currencies such as gold, this reserve houses the country's digital currency.",NewsAPI,trump signs executive order creating a strategic bitcoin reserve what does it mean for cryptocurrency similar to how the government has a reserve of other currencies such as gold this reserve houses the country s digital currency ,Positive,0.296
"Cathie Wood says people are going to learn the hard way that meme coins are the worst Wood, who has been bullish about cryptocurrencies like bitcoin, said her private funds are not investing in meme coins.",NewsAPI,cathie wood says people are going to learn the hard way that meme coins are the worst wood who has been bullish about cryptocurrencies like bitcoin said her private funds are not investing in meme coins ,Negative,-0.4588
"Trump Signs Order To Establish Strategic Bitcoin Reserve President Trump has signed an executive order to establish a strategic reserve of cryptocurrencies by using tokens already owned by the government. Reuters reports: A ""Strategic Bitcoin Reserve"" will be capitalized with bitcoin owned by the federal government…",NewsAPI,trump signs order to establish strategic bitcoin reserve president trump has signed an executive order to establish a strategic reserve of cryptocurrencies by using tokens already owned by the government reuters reports a strategic bitcoin reserve will be capitalized with bitcoin owned by the federal government ,Neutral,0.0
The Quantum Apocalypse Is Coming. Be Very Afraid What happens when quantum computers can finally crack encryption and break into the world’s best-kept secrets? It’s called Q-Day—the worst holiday maybe ever.,NewsAPI,the quantum apocalypse is coming be very afraid what happens when quantum computers can finally crack encryption and break into the world s best kept secrets it s called q day the worst holiday maybe ever ,Positive,0.4215
Watch Live as SpaceX Launches Private Crew to Elusive Polar Orbit The Fram2 mission is set for launch on Monday at 9:46 p.m. ET.,NewsAPI,watch live as spacex launches private crew to elusive polar orbit the fram2 mission is set for launch on monday at 9 46 p m et ,Neutral,0.0
"Czech central banker Kubicek 'sceptical' of bitcoin as reserve asset Czech National Bank board member Jan Kubicek is ""sceptical"" about the inclusion of bitcoin among the bank's hefty reserves, wary of legal uncertainties and...",NewsAPI,czech central banker kubicek sceptical of bitcoin as reserve asset czech national bank board member jan kubicek is sceptical about the inclusion of bitcoin among the bank s hefty reserves wary of legal uncertainties and ,Negative,-0.4215
GameStop to Borrow $1.3 Billion to Fund Bitcoin Buying Spree ,NewsAPI,gamestop to borrow 1 3 billion to fund bitcoin buying spree ,Neutral,0.0
U.S. Housing Agency Considers Launching Crypto Experiment HUD is pondering using the blockchain and a stablecoin. One HUD official derided it as “monopoly money.”,NewsAPI,u s housing agency considers launching crypto experiment hud is pondering using the blockchain and a stablecoin one hud official derided it as monopoly money ,Negative,-0.2023
Bitcoin price rises but odds suggest it may have already peaked this year Odds on prediction market platform Polymarket point to bitcoin's price heading lower still.,NewsAPI,bitcoin price rises but odds suggest it may have already peaked this year odds on prediction market platform polymarket point to bitcoin s price heading lower still ,Negative,-0.4215
"Larry Fink Says Bitcoin Could Replace the Dollar as the World's Reserve Currency Because of National Debt With America's national debt sitting comfortably over the $36.2 trillion mark, BlackRock CEO Larry Fink is warning the burden could one day be the reason the dollar is dethroned as the reserve currency of the world.
 From a report: He argues that decentralize…",NewsAPI,larry fink says bitcoin could replace the dollar as the world s reserve currency because of national debt with america s national debt sitting comfortably over the 36 2 trillion mark blackrock ceo larry fink is warning the burden could one day be the reason the dollar is dethroned as the reserve currency of the world from a report he argues that decentralize ,Negative,-0.8442
White House crypto czar says public has 'lost out on over $17 billion' Crypto czar David Sacks argued taxpayers have lost out on billions because earlier administrations never took advantage of bitcoin in the government's possession.,NewsAPI,white house crypto czar says public has lost out on over 17 billion crypto czar david sacks argued taxpayers have lost out on billions because earlier administrations never took advantage of bitcoin in the government s possession ,Negative,-0.7808
