timestamp,average_dormancy,sa_average_dormancy
2021-01-01,15.01804685,8.1e-07
2021-01-02,26.15849851,1.41e-06
2021-01-03,16.38457886,8.8e-07
2021-01-04,28.92798543,1.56e-06
2021-01-05,9.94731076,5.4e-07
2021-01-06,11.77878879,6.3e-07
2021-01-07,14.23893884,7.7e-07
2021-01-08,12.91269779,6.9e-07
2021-01-09,14.66205246,7.9e-07
2021-01-10,12.18420527,6.6e-07
2021-01-11,10.40029105,5.6e-07
2021-01-12,7.05048311,3.8e-07
2021-01-13,8.68205805,4.7e-07
2021-01-14,7.99268691,4.3e-07
2021-01-15,10.68790619,5.7e-07
2021-01-16,6.19790757,3.3e-07
2021-01-17,6.75744332,3.6e-07
2021-01-18,7.64045863,4.1e-07
2021-01-19,6.45179873,3.5e-07
2021-01-20,5.10851788,2.7e-07
2021-01-21,4.72341734,2.5e-07
2021-01-22,5.77259701,3.1e-07
2021-01-23,3.77807354,2e-07
2021-01-24,3.6033584,1.9e-07
2021-01-25,4.40874995,2.4e-07
2021-01-26,4.54786553,2.4e-07
2021-01-27,19.49440945,1.05e-06
2021-01-28,6.23070285,3.3e-07
2021-01-29,7.25966245,3.9e-07
2021-01-30,5.22745845,2.8e-07
2021-01-31,9.64311313,5.2e-07
2021-02-01,3.99364849,2.1e-07
2021-02-02,4.25890635,2.3e-07
2021-02-03,5.19597005,2.8e-07
2021-02-04,7.1944852,3.9e-07
2021-02-05,10.13105943,5.4e-07
2021-02-06,4.65968933,2.5e-07
2021-02-07,12.86264118,6.9e-07
2021-02-08,8.12062783,4.4e-07
2021-02-09,7.70403976,4.1e-07
2021-02-10,7.70391557,4.1e-07
2021-02-11,5.69524059,3.1e-07
2021-02-12,7.13221949,3.8e-07
2021-02-13,4.95261206,2.7e-07
2021-02-14,5.47388269,2.9e-07
2021-02-15,5.99841877,3.2e-07
2021-02-16,6.20521744,3.3e-07
2021-02-17,7.82102204,4.2e-07
2021-02-18,9.42463438,5.1e-07
2021-02-19,9.8777672,5.3e-07
2021-02-20,9.54647773,5.1e-07
2021-02-21,8.02827364,4.3e-07
2021-02-22,7.54224221,4e-07
2021-02-23,15.522098,8.3e-07
2021-02-24,14.87336559,8e-07
2021-02-25,7.88074874,4.2e-07
2021-02-26,9.81334742,5.3e-07
2021-02-27,6.1155678,3.3e-07
2021-02-28,6.23921483,3.3e-07
2021-03-01,4.61967238,2.5e-07
2021-03-02,9.65123513,5.2e-07
2021-03-03,4.21333926,2.3e-07
2021-03-04,6.77032954,3.6e-07
2021-03-05,9.41739553,5.1e-07
2021-03-06,4.48295352,2.4e-07
2021-03-07,2.23517492,1.2e-07
2021-03-08,11.50363936,6.2e-07
2021-03-09,4.90134324,2.6e-07
2021-03-10,5.82517093,3.1e-07
2021-03-11,22.81918528,1.22e-06
2021-03-12,12.47416478,6.7e-07
2021-03-13,8.65189335,4.6e-07
2021-03-14,14.76344215,7.9e-07
2021-03-15,8.32402953,4.5e-07
2021-03-16,11.5484809,6.2e-07
2021-03-17,9.52118109,5.1e-07
2021-03-18,5.38676463,2.9e-07
2021-03-19,5.38834086,2.9e-07
2021-03-20,11.67133844,6.3e-07
2021-03-21,6.48257252,3.5e-07
2021-03-22,10.6693762,5.7e-07
2021-03-23,11.84977406,6.3e-07
2021-03-24,6.58355444,3.5e-07
2021-03-25,14.21629781,7.6e-07
2021-03-26,7.85520645,4.2e-07
2021-03-27,10.25452408,5.5e-07
2021-03-28,8.54377721,4.6e-07
2021-03-29,4.4121918,2.4e-07
2021-03-30,7.41907844,4e-07
2021-03-31,10.92030072,5.8e-07
2021-04-01,20.42429379,1.09e-06
2021-04-02,15.46866366,8.3e-07
2021-04-03,3.43959508,1.8e-07
2021-04-04,4.83482356,2.6e-07
2021-04-05,4.62316815,2.5e-07
2021-04-06,18.16540015,9.7e-07
2021-04-07,5.20110565,2.8e-07
2021-04-08,6.44246931,3.4e-07
2021-04-09,6.63304351,3.6e-07
2021-04-10,6.92613847,3.7e-07
2021-04-11,11.36019726,6.1e-07
2021-04-12,11.1704069,6e-07
2021-04-13,7.89268319,4.2e-07
2021-04-14,18.78145588,1.01e-06
2021-04-15,13.79917184,7.4e-07
2021-04-16,3.89519089,2.1e-07
2021-04-17,8.56731746,4.6e-07
2021-04-18,19.84430733,1.06e-06
2021-04-19,4.13700855,2.2e-07
2021-04-20,7.70930987,4.1e-07
2021-04-21,4.11668369,2.2e-07
2021-04-22,5.93892064,3.2e-07
2021-04-23,8.0331654,4.3e-07
2021-04-24,13.77576025,7.4e-07
2021-04-25,8.44034347,4.5e-07
2021-04-26,6.03936852,3.2e-07
2021-04-27,11.07567866,5.9e-07
2021-04-28,5.43393549,2.9e-07
2021-04-29,7.49721615,4e-07
2021-04-30,8.90109734,4.8e-07
2021-05-01,3.81593064,2e-07
2021-05-02,4.75165555,2.5e-07
2021-05-03,5.6412609,3e-07
2021-05-04,5.39422957,2.9e-07
2021-05-05,5.46983599,2.9e-07
2021-05-06,5.74670675,3.1e-07
2021-05-07,12.89366115,6.9e-07
2021-05-08,5.22100004,2.8e-07
2021-05-09,9.51231881,5.1e-07
2021-05-10,7.7163388,4.1e-07
2021-05-11,8.13295832,4.3e-07
2021-05-12,12.94602133,6.9e-07
2021-05-13,8.27938863,4.4e-07
2021-05-14,4.683109,2.5e-07
2021-05-15,4.09170189,2.2e-07
2021-05-16,5.23522558,2.8e-07
2021-05-17,3.80823065,2e-07
2021-05-18,7.11106061,3.8e-07
2021-05-19,10.04222936,5.4e-07
2021-05-20,6.6174461,3.5e-07
2021-05-21,6.40228295,3.4e-07
2021-05-22,2.52546473,1.3e-07
2021-05-23,6.24038136,3.3e-07
2021-05-24,10.68058455,5.7e-07
2021-05-25,4.45717016,2.4e-07
2021-05-26,4.61250932,2.5e-07
2021-05-27,2.37675102,1.3e-07
2021-05-28,1.80070944,1e-07
2021-05-29,1.52042049,8e-08
2021-05-30,20.20930506,1.08e-06
2021-05-31,3.26220268,1.7e-07
2021-06-01,16.88264714,9e-07
2021-06-02,7.19813314,3.8e-07
2021-06-03,14.06589299,7.5e-07
2021-06-04,4.81096707,2.6e-07
2021-06-05,4.25507859,2.3e-07
2021-06-06,2.67875542,1.4e-07
2021-06-07,3.86016635,2.1e-07
2021-06-08,4.63928622,2.5e-07
2021-06-09,5.94511376,3.2e-07
2021-06-10,7.31859535,3.9e-07
2021-06-11,8.72915252,4.7e-07
2021-06-12,2.37125803,1.3e-07
2021-06-13,3.74339754,2e-07
2021-06-14,4.39014622,2.3e-07
2021-06-15,5.33308489,2.8e-07
2021-06-16,3.09386698,1.7e-07
2021-06-17,3.13378663,1.7e-07
2021-06-18,3.01074921,1.6e-07
2021-06-19,2.1905781,1.2e-07
2021-06-20,2.56069647,1.4e-07
2021-06-21,4.3405089,2.3e-07
2021-06-22,3.96897962,2.1e-07
2021-06-23,7.25070303,3.9e-07
2021-06-24,5.16035791,2.8e-07
2021-06-25,8.5734757,4.6e-07
2021-06-26,1.54424808,8e-08
2021-06-27,3.27791499,1.7e-07
2021-06-28,2.97326213,1.6e-07
2021-06-29,2.78637957,1.5e-07
2021-06-30,3.60638576,1.9e-07
2021-07-01,3.67732912,2e-07
2021-07-02,5.83555428,3.1e-07
2021-07-03,1.92260945,1e-07
2021-07-04,2.40491053,1.3e-07
2021-07-05,3.48302403,1.9e-07
2021-07-06,3.11070432,1.7e-07
2021-07-07,5.03858949,2.7e-07
2021-07-08,1.43390546,8e-08
2021-07-09,1.85047908,1e-07
2021-07-10,1.20687996,6e-08
2021-07-11,1.67986865,9e-08
2021-07-12,7.92153788,4.2e-07
2021-07-13,2.64135018,1.4e-07
2021-07-14,3.54504465,1.9e-07
2021-07-15,3.64418547,1.9e-07
2021-07-16,3.13938245,1.7e-07
2021-07-17,42.75134592,2.28e-06
2021-07-18,2.77499375,1.5e-07
2021-07-19,3.26061892,1.7e-07
2021-07-20,5.19717612,2.8e-07
2021-07-21,3.0500427,1.6e-07
2021-07-22,3.33782627,1.8e-07
2021-07-23,3.48739853,1.9e-07
2021-07-24,1.3776286,7e-08
2021-07-25,2.06985578,1.1e-07
2021-07-26,10.01044517,5.3e-07
2021-07-27,3.08784136,1.6e-07
2021-07-28,8.51876254,4.5e-07
2021-07-29,56.80646774,3.03e-06
2021-07-30,2.96565331,1.6e-07
2021-07-31,1.844094,1e-07
2021-08-01,0.81448184,4e-08
2021-08-02,1.62840521,9e-08
2021-08-03,1.53546197,8e-08
2021-08-04,1.48698556,8e-08
2021-08-05,1.95850006,1e-07
2021-08-06,3.9771202,2.1e-07
2021-08-07,2.10667104,1.1e-07
2021-08-08,3.49440983,1.9e-07
2021-08-09,3.0147028,1.6e-07
2021-08-10,2.20101407,1.2e-07
2021-08-11,2.7333967,1.5e-07
2021-08-12,2.37427804,1.3e-07
2021-08-13,2.90575004,1.5e-07
